Height of Entrance,Height of the middle of the vault,Angle of Opening in Degree,Truss frequency along the length,Truss frequency space along the width,Truss depth,Number of elements,Number of joints,Total length of elements,Length of the longest member,Maximum displacement,Structure mass
15,19,7,33,8,-2.1,2112,570,8325.33603163861,6.89796953866251,1.63772461539059,34637.4675394944
29,20,44,40,9,-2.2,2880,770,12015.3718794751,9.85667975857302,2.99919381268789,80327.528128971
16,43,37,35,9,-1.7,2520,675,11391.4169623146,9.69467261853865,2.96004080264495,53033.4316324505
21,36,41,29,8,-2.4,1856,502,9711.18420532706,9.34016829067479,2.96966241809295,43095.0117813803
25,44,22,48,5,-2.8,1920,534,14213.9533292646,17.1472194567151,2.27022635213838,105518.985248965
26,29,35,32,12,-2.1,3072,813,12057.6483311481,6.72705706950667,2.99947690765197,55480.1285183747
26,35,12,20,12,-1.8,1920,513,8937.81296775306,6.70916686863053,2.99521876683442,38753.9939124051
28,24,31,37,11,-2,3256,863,12305.7944538444,7.79769551607307,2.9996282372226,58857.4616935177
22,18,11,33,6,-2.9,1584,436,8261.41740391112,11.8276517334522,1.41067138110522,39413.5871637387
16,15,10,16,5,-2.1,640,182,4080.22448810345,10.8743111327389,2.23757025990337,18720.4473577242
21,32,30,25,8,-3,1600,434,8736.29095196927,8.82112377560425,2.12157481603337,42211.5552315718
23,15,0,32,11,-2.1,2816,748,9730.40419924668,6.49868743305198,2.01664467255099,38418.6535908125
23,38,30,35,5,-2.7,1400,391,9998.72350306969,14.8374482328715,2.56837726094888,66696.7243210883
23,34,23,42,7,-1.6,2352,638,11581.2872649635,10.3574717098812,2.95642954274503,59033.5106895287
28,20,3,24,5,-2.2,960,270,6168.35638001675,16.5089496667532,2.46909675081872,34824.0786075764
27,23,9,18,6,-2.9,864,241,5768.56560208175,13.5471553733384,1.50120611868058,28950.5775362754
27,31,11,45,4,-1.6,1440,410,10700.4211831147,19.5908639030047,2.99155068387921,108722.162989522
19,37,34,21,12,-1.9,2016,538,9331.31526940913,6.35210225744091,2.99749763354279,39085.2463433887
27,18,20,28,7,-1.7,1568,428,7596.57794574121,11.512900499949,2.94520929124014,35331.0692657739
16,19,18,27,9,-2.1,1944,523,7861.99823219822,6.29161190194315,2.312589610714,31973.219046011
21,35,13,44,4,-1.9,1408,401,10540.332566464,16.7571138918643,2.97611973942292,119870.267636764
18,30,28,44,14,-2.3,4928,1291,15675.5325888533,4.56403339344794,2.91433099421868,60350.3727042387
25,40,32,27,4,-2,864,248,7634.06045276878,19.0805254164092,2.97525884646419,85016.09980636
28,15,32,15,14,-2,1680,450,8805.53676392576,9.2973252194259,2.86573402292975,40938.1833237445
16,19,9,26,3,-1.9,624,186,4864.71246419351,16.988912612697,0.279406081371419,24048.6373274819
29,15,6,22,3,-2,528,158,4630.57491569541,26.4311861382494,0.249174383760521,26240.218535178
24,16,20,15,11,-3,1320,357,7315.22673775018,8.28942515263954,2.60817934749769,28979.6211679171
27,31,17,43,5,-2.1,1720,479,11093.2842579715,15.9365185668607,2.59428883301402,64823.8077370283
17,26,19,38,4,-2.7,1216,347,8361.41463580899,14.6958799056466,1.8184975797107,48783.9653180707
27,28,24,20,10,-2.7,1600,431,8439.69834618906,8.37292656767706,2.725229406707,37648.8729263133
22,16,36,28,10,-2.2,2240,599,9030.40948605857,6.92846332024709,2.99869155234441,39393.5467230034
24,31,21,42,5,-2.4,1680,468,10767.8168387361,14.7704544927975,2.90682970035924,69625.0695451202
20,35,38,27,11,-2.4,2376,633,10592.611871337,6.65510078394391,2.92902446479577,43849.8872916762
18,34,3,25,3,-2.4,600,179,5830.25472538493,20.4155243920299,0.592785390676784,36375.8282676784
18,24,14,28,10,-1.8,2240,599,8699.36350793291,6.03165478518338,2.82219133953686,36624.4286697428
26,37,26,38,11,-2.7,3344,886,14347.5966729651,7.53148390186624,2.98521605431266,69034.5787587433
29,22,9,39,7,-2.7,2184,593,10825.5006809627,12.6699557011353,1.82781854936053,54742.6264600344
23,38,12,43,10,-1.8,3440,914,13740.4884623944,7.80472923407985,2.98771170597742,70934.2677740688
29,22,12,37,9,-2.9,2664,713,11756.7742974022,9.9708388472886,2.01670249327376,54266.3693489056
25,35,24,36,11,-2.8,3168,840,13591.5088868652,7.29354845834721,2.68965114630899,63010.1396220023
25,33,13,26,6,-2.1,1248,345,7749.75166667086,12.8821106031097,2.65684989215456,45947.4269149869
19,17,28,30,6,-2.9,1440,397,7522.62597339253,10.666588296941,2.37331695908711,35860.7772150137
27,27,44,25,9,-1.7,1800,485,8775.70975009797,9.14538117237634,2.99866891022938,48310.0154644938
28,38,41,43,6,-2,2064,566,12687.7639944788,14.1342613751895,2.81552088612236,77642.6537246973
21,39,8,47,12,-2.6,4512,1188,16900.0595738889,6.74343268458288,1.83118779186674,79152.4144474485
27,24,34,14,5,-1.6,560,160,4541.80716825497,15.9365185668607,2.78017477833389,29563.7161713614
20,25,35,17,4,-2,544,158,4441.97322262525,15.0770413181595,2.99406885300166,25026.6289626689
23,17,4,34,5,-2.4,1360,380,7596.41704019893,14.0883592597247,1.73733652823238,39528.7523718738
22,39,3,18,12,-2.7,1728,463,8780.30160726786,6.75147024889365,1.88655490980781,38627.8327356905
22,23,2,26,9,-2.4,1872,504,8277.19103148857,7.83575273383724,1.58051221687919,35666.3487549063
19,20,3,47,12,-3,4512,1188,15222.730205143,5.51287918355621,1.55780794959372,59199.1396506896
25,34,36,26,9,-2.9,1872,504,9914.98456784936,8.92131933141244,2.9985791286312,48553.8786406102
22,33,41,15,8,-2.1,960,264,6325.38242125675,8.84124346196735,2.98902176829293,28463.2895503783
18,34,34,20,8,-2.2,1280,349,7194.9906975453,8.84120209809685,2.61326713869133,34077.8173641555
29,16,33,28,6,-1.7,1344,371,7303.71649088407,14.3110606296003,2.99986686232215,42669.7072114322
25,20,27,31,10,-2.4,2480,662,10185.2785808583,7.79570327987556,2.96239398192666,42080.2510198056
20,17,38,20,12,-2.1,1920,513,8395.98850119627,6.28783329875743,2.85383443832222,34794.1353927544
22,33,17,23,12,-1.8,2208,588,9394.9396653136,5.88279485372957,2.74477184372201,39367.4852235124
